className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/ScheduleGenerator.java,1,574,290,290,ScheduleGenerator.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/holiday/HolidayCalendar.java,1,366,189,189,HolidayCalendar.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/daycount/DaycountCalculatorFactory.java,1,274,122,122,DaycountCalculatorFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/Period.java,1,247,113,113,Period.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/holiday/HolidayCalendarFactory.java,1,218,105,105,HolidayCalendarFactory.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/util/ISDADateFormat.java,1,117,48,48,ISDADateFormat.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/Frequency.java,1,117,33,33,Frequency.java,False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,src/main/java/org/jfin/date/daycount/DaycountCalculator.java,1,100,23,23,DaycountCalculator.java,False
